name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
test/dot/dotall-multiline-new-line,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.53s,60.00ns,0.00ns,65.00ns,183.00ns,50.00ns,48.52us
test/dot/dotall-multiline-carriage-return,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.58s,60.00ns,0.00ns,70.00ns,278.00ns,50.00ns,69.86us
test/func/leftmost-first,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,7,1000000,1.58s,70.00ns,0.00ns,76.00ns,285.00ns,60.00ns,166.17us
test/func/dollar-only-matches-end,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.68s,100.00ns,0.00ns,106.00ns,281.00ns,90.00ns,95.57us
test/func/non-greedy,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.78s,100.00ns,0.00ns,110.00ns,232.00ns,100.00ns,73.02us
test/model/count,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,37,1000000,1.78s,140.00ns,0.00ns,144.00ns,320.00ns,130.00ns,94.01us
test/model/count-spans,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,37,1000000,1.83s,180.00ns,10.00ns,189.00ns,420.00ns,170.00ns,117.80us
test/model/count-captures,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,37,1000000,1.58s,250.00ns,0.00ns,271.00ns,390.00ns,240.00ns,71.87us
test/model/grep,grep,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,13,1000000,1.68s,90.00ns,10.00ns,93.00ns,208.00ns,80.00ns,62.86us
test/model/grep-captures,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,20,1000000,2.74s,610.00ns,10.00ns,676.00ns,903.00ns,580.00ns,182.30us
test/model/compile,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,98667,4.67s,26.70us,330.00ns,29.13us,33.04us,25.76us,7.19ms
test/unicode/case/ascii-only,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.63s,50.00ns,0.00ns,56.00ns,204.00ns,40.00ns,95.23us
test/unicode/case/ascii-with-unicode,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.54s,70.00ns,0.00ns,71.00ns,231.00ns,60.00ns,96.18us
test/unicode/case/unicode,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.57s,70.00ns,0.00ns,73.00ns,246.00ns,60.00ns,162.34us
test/unicode/decimal/ascii-only,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.53s,50.00ns,0.00ns,57.00ns,220.00ns,50.00ns,87.69us
test/unicode/decimal/unicode,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.58s,70.00ns,10.00ns,76.00ns,298.00ns,60.00ns,134.00us
test/unicode/invalid-utf8/dot-matches-xFF,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.58s,60.00ns,0.00ns,68.00ns,185.00ns,50.00ns,60.64us
test/unicode/invalid-utf8/dot-no-matches-xFF,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.53s,60.00ns,0.00ns,65.00ns,204.00ns,50.00ns,86.09us
test/unicode/invalid-utf8/dot-matches-codepoint-prefix,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.69s,100.00ns,0.00ns,116.00ns,337.00ns,100.00ns,144.92us
test/unicode/invalid-utf8/dot-no-matches-codepoint-prefix,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.48s,60.00ns,0.00ns,64.00ns,211.00ns,50.00ns,89.05us
test/unicode/invalid-utf8/xFF-matches-xFF,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.53s,50.00ns,0.00ns,53.00ns,139.00ns,40.00ns,44.94us
test/unicode/letter/pL-matches-bmp-delta,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.58s,60.00ns,0.00ns,67.00ns,222.00ns,60.00ns,159.01us
test/unicode/letter/pLbraced-matches-bmp-delta,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.58s,60.00ns,0.00ns,68.00ns,277.00ns,60.00ns,110.87us
test/unicode/letter/pLbraced-matches-nonbmp-delta,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4,1000000,1.52s,70.00ns,10.00ns,70.00ns,218.00ns,60.00ns,94.37us
test/unicode/letter/pLetter-matches-bmp-delta,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.58s,60.00ns,0.00ns,70.00ns,216.00ns,60.00ns,93.29us
test/unicode/letter/pLetter-casei-matches-bmp-delta,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.52s,60.00ns,0.00ns,68.00ns,202.00ns,60.00ns,77.03us
test/unicode/letter/pLetter-gc-equals-matches-bmp-delta,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.18s,60.00ns,0.00ns,67.00ns,245.00ns,60.00ns,69.64us
test/unicode/letter/pLetter-gc-colon-matches-bmp-delta,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.22s,60.00ns,0.00ns,68.00ns,197.00ns,60.00ns,70.54us
test/unicode/utf8/dot-matches-byte,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4,1000000,1.73s,130.00ns,0.00ns,139.00ns,311.00ns,120.00ns,83.19us
test/unicode/utf8/dot-matches-codepoint,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4,1000000,1.53s,60.00ns,0.00ns,67.00ns,210.00ns,60.00ns,72.75us
test/unicode/whitespace/ascii-only,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.58s,60.00ns,10.00ns,61.00ns,298.00ns,50.00ns,111.84us
test/unicode/whitespace/unicode,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.65s,60.00ns,0.00ns,69.00ns,182.00ns,60.00ns,72.49us
test/unicode/word-boundary/ascii-only,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.65s,60.00ns,0.00ns,65.00ns,287.00ns,50.00ns,187.07us
test/unicode/word-boundary/unicode-alphabetic,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,2.68s,560.00ns,10.00ns,606.00ns,680.00ns,530.00ns,140.06us
test/unicode/word-boundary/unicode-join-control,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,2.64s,600.00ns,10.00ns,685.00ns,906.00ns,570.00ns,205.26us
test/unicode/word-boundary/unicode-mark,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,2.59s,560.00ns,10.00ns,602.00ns,742.00ns,530.00ns,192.04us
test/unicode/word-boundary/unicode-decimal-number,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,2.73s,590.00ns,10.00ns,654.00ns,675.00ns,560.00ns,126.52us
test/unicode/word-boundary/unicode-connector-punctuation,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,2.85s,590.00ns,10.00ns,662.00ns,946.00ns,560.00ns,573.29us
test/unicode/word/ascii-only,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.53s,60.00ns,0.00ns,68.00ns,222.00ns,50.00ns,79.96us
test/unicode/word/unicode-alphabetic,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.67s,60.00ns,0.00ns,67.00ns,249.00ns,60.00ns,122.04us
test/unicode/word/unicode-join-control,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.58s,70.00ns,10.00ns,70.00ns,265.00ns,60.00ns,110.65us
test/unicode/word/unicode-mark,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,2,1000000,1.58s,60.00ns,0.00ns,66.00ns,215.00ns,60.00ns,115.12us
test/unicode/word/unicode-decimal-number,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.62s,70.00ns,10.00ns,68.00ns,233.00ns,60.00ns,144.50us
test/unicode/word/unicode-connector-punctuation,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,3,1000000,1.62s,60.00ns,0.00ns,66.00ns,128.00ns,60.00ns,52.43us
unicode/codepoints/any-one,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4382592,97,4.56s,30.44ms,861.67us,31.07ms,1.91ms,28.97ms,37.85ms
unicode/codepoints/any-all,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4382592,174,4.56s,17.28ms,132.74us,17.34ms,257.60us,16.91ms,18.91ms
